Number,State,Value,Param L2_weight_yy,Param L_entropy_weight_yy,Param L_scale_weight_yy,Param L_sep_weight_yy,Param activation_func_yy,Param context_extractor_yy,Param context_size_yy,Param hidden_size_yy_l0,Param hidden_size_yy_l1,Param learning_rate_yy,Param n_layers_yy,Param num_mix_components_yy,UserAttribute h_yy_test_sec_run_0,UserAttribute log_loss_yy_run_0
0,COMPLETE,1.0011331144125835,6.049999735286067e-08,3.82219138639161e-09,1.203982600160636e-05,1.0626131459702244e-07,Tanh,gru,4,3,2,0.0012394262479058155,2,2,-0.010248874461742162,1.0011331144125835
1,COMPLETE,0.9976499232129492,3.939425387258691e-09,4.6149288740557857e-07,5.051659192973305e-07,4.054707119194834e-07,GELU,gru,3,4,5,0.0009299808427727133,2,5,0.006572904758635648,0.9976499232129492
2,COMPLETE,0.9946091519766536,0.00012758870309033613,1.5753267816786742e-06,3.765444486976772e-10,5.395280430906198e-05,GELU,gru,1,3,2,0.0018032484504162708,2,3,-0.02671168189039735,0.9946091519766536
3,COMPLETE,0.9979682548335935,4.354404637188624e-05,1.5356544218157828e-10,0.00044033075696447066,9.246962695382983e-06,Tanh,gru,3,6,,0.00389153839424458,1,5,-0.013672335427838427,0.9979682548335935
4,COMPLETE,1.006847437886729,6.336289787368257e-10,9.192947975269828e-10,4.1301961874362354e-10,5.067369164535943e-09,Tanh,lstm,1,3,4,0.0018987801940015406,2,5,-0.012555868229810013,1.006847437886729
5,PRUNED,1.009924478802817,2.3944350190707548e-06,1.4462912720227708e-08,2.0701366144359182e-06,2.095499745681773e-06,Tanh,lstm,2,2,,0.0008960652297187953,1,5,,
6,COMPLETE,0.9952673623417544,0.00013813792865621105,1.1305933894735396e-09,4.5761848774564183e-10,3.306685968940605e-06,ReLU,gru,4,5,,0.0015575968159363838,1,3,-0.02707616339597105,0.9952673623417544
7,COMPLETE,0.99476648724753,1.8093549237177018e-07,1.5498553115472264e-07,1.4058477256840524e-08,4.991887115499082e-10,GELU,lstm,4,6,6,0.002475169190831211,2,4,-0.017261219692195753,0.99476648724753
8,PRUNED,1.0082849528325564,1.1299328598351152e-06,2.8306643468448572e-08,0.0001264967842750749,1.0553850095495004e-08,ReLU,lstm,4,5,,0.0009157823138608719,1,5,,
9,PRUNED,1.0152568216023294,3.87387377316379e-10,0.00011850870348620008,0.00011944884362528511,3.442084846397276e-05,Tanh,lstm,3,2,,0.0005160804044689124,1,5,,
10,PRUNED,1.0605244638921023,0.0009521914725622924,3.342420774900098e-05,1.203779038905623e-08,0.0009555061521561442,GELU,gru,1,3,2,0.007411584406916741,2,1,,
11,PRUNED,1.0117432220749047,6.71985476232989e-08,1.7341393059499979e-06,1.3648440541186609e-08,0.00035708104712976995,GELU,lstm,2,6,6,0.0032696829432313675,2,3,,
12,PRUNED,1.011582733810753,9.603612209981345e-06,2.708327190436795e-06,1.0228743551210882e-08,1.0939038354412536e-10,GELU,gru,2,4,4,0.002820695929026368,2,4,,
13,COMPLETE,0.9950531734831038,1.1543161999041543e-07,9.923885360362124e-08,2.675722276076491e-09,2.1730608371744858e-10,GELU,lstm,1,5,3,0.005581818266099676,2,4,0.007883405624543538,0.9950531734831038
14,PRUNED,1.0096463350846565,9.113974911313963e-09,1.049898163532412e-05,1.0087476524044997e-10,2.882425985363897e-09,GELU,lstm,2,3,6,0.0021243927217584214,2,2,,
15,PRUNED,1.0132713241538982,6.447861861490831e-07,0.0003536235125283158,1.2113292989533456e-07,8.766147664251907e-05,GELU,gru,3,4,5,0.0048337524451864036,2,4,,
16,PRUNED,1.0089070929355057,1.0918537609134178e-05,2.5992193039098223e-07,9.91836044810754e-08,1.8996445540540972e-07,GELU,lstm,1,6,3,0.002655212169833742,2,2,,
17,COMPLETE,0.994288654909425,0.0005333013479375644,1.838192112941269e-06,1.4001750929511967e-09,2.3999142387747567e-08,ReLU,gru,4,4,5,0.009200037700823786,2,3,0.020154016325457783,0.994288654909425
18,PRUNED,1.0110095827027283,0.0005998168131500678,8.498560387371859e-06,1.0772379753459598e-10,2.8980568331446313e-08,ReLU,gru,3,2,5,0.009376628185901431,2,3,,
19,PRUNED,1.0212094334139115,0.00012913074381599798,1.3114334569179784e-06,1.5581016847380703e-09,8.234216324621774e-07,ReLU,gru,2,3,3,0.0005153309222676794,2,1,,
20,PRUNED,1.0175642096560975,1.3689653053566042e-05,4.9899425311297693e-05,1.5501977647412444e-09,5.8146404007277224e-08,ReLU,gru,4,4,,0.006412961132925033,1,2,,
21,PRUNED,1.0113321774717925,0.0002521664243755056,7.098484002685172e-08,2.5266968075793114e-08,7.699760068859202e-10,ReLU,gru,4,5,6,0.001353881825191327,2,4,,
22,COMPLETE,0.9965426572386535,4.278569587453742e-05,3.9813934717008427e-07,3.0202751107507878e-09,6.446569234232706e-10,GELU,gru,4,4,5,0.004203068644012548,2,3,-0.06079339037378993,0.9965426572386535
23,COMPLETE,0.9974155473732961,3.236404687039001e-06,5.624550806682324e-06,5.063264689167669e-10,1.0926166515244881e-09,GELU,lstm,4,4,6,0.009924858348382122,2,3,0.0011152778468511613,0.9974155473732961
24,COMPLETE,0.9995829299308467,1.3383137551414174e-08,7.94994145333216e-07,4.632722376022295e-08,1.591568166140915e-08,ReLU,gru,3,5,5,0.0017432940133653763,2,4,-0.01426261364197882,0.9995829299308467
25,PRUNED,1.0111550755236016,2.426397821717128e-07,1.455735762364138e-07,3.7123455879799425e-09,2.963714761512822e-05,GELU,gru,4,3,4,0.0024241468377979363,2,4,,
26,PRUNED,1.0081811898228168,6.354020638111455e-05,9.372756144557841e-09,6.667466209039938e-07,2.677375807334554e-09,ReLU,lstm,3,6,6,0.003496306512233619,2,3,,
27,PRUNED,1.0097694587802934,1.1035175695776334e-10,2.107349663900915e-05,6.756844489901642e-10,4.590151830120587e-08,GELU,gru,1,4,2,0.00763137664304942,2,3,,
28,COMPLETE,0.9941819359386724,0.0003815533040167614,0.0009690114489942167,6.0533934981788405e-09,1.19128137046931e-06,GELU,lstm,4,5,5,0.0011702106573524646,2,2,-0.0025679499789090904,0.9941819359386724
29,COMPLETE,0.9946965093073575,0.00046283242685200734,0.00037811022182369594,5.945061941186568e-06,4.023608108707464e-06,ReLU,gru,4,5,4,0.0011929439679874334,2,2,-0.019190490736200938,0.9946965093073575
30,PRUNED,1.023335091885237,0.00021674158973831827,0.0007968297199479594,2.420934573979055e-10,7.309799638848008e-07,Tanh,gru,2,3,5,0.0006917670223653849,2,2,,
31,COMPLETE,0.9968217074006364,0.00044478913225228715,0.00022777349498235235,6.7608242646019224e-06,1.0094636223550633e-05,ReLU,gru,4,5,4,0.001319810476025062,2,2,-0.029764655392202893,0.9968217074006364
32,COMPLETE,1.0527949373742351,0.0009039359362450783,9.562206316248359e-05,3.0837549673358875e-05,1.8473935559634562e-07,ReLU,gru,4,5,4,0.0012244862173424217,2,1,-0.06542313645203136,1.0527949373742351
33,PRUNED,1.018293461840173,3.407185915364724e-05,0.0009783316179624404,4.189408334023687e-06,3.203733204917582e-06,ReLU,gru,4,4,3,0.001093425788977683,2,2,,
34,PRUNED,1.0504845489914147,0.0003041142792073098,0.00034190155366330827,3.6794274121783225e-07,0.00010510988571424043,ReLU,gru,3,5,5,0.0007553691508357349,2,1,,
35,PRUNED,1.01836104056667,7.57556782873126e-05,9.309192803495575e-05,4.9089138468022554e-05,1.2719548325175939e-05,Tanh,gru,3,4,4,0.001572977339879793,2,2,,
36,PRUNED,1.0105829339077497,2.525157758815418e-05,1.9178881942243345e-10,9.182376095482481e-10,1.599156066626761e-06,ReLU,gru,4,5,,0.0010511436869231644,1,2,,
37,COMPLETE,1.0429665521122682,0.00010398375655883112,4.3588849903069265e-06,5.316562478322629e-09,4.592023890718999e-07,GELU,lstm,3,2,2,0.0019187989306506516,2,3,-0.028368153991452545,1.0429665521122682
38,COMPLETE,1.0112764020750915,5.530928092490363e-06,1.5988793010477184e-05,0.0008558108127815703,6.829332579714118e-06,Tanh,gru,4,6,3,0.0007099943891552628,2,2,-0.05518847066967103,1.0112764020750915
39,COMPLETE,0.996112236683222,0.0002564096479364064,4.228183508982906e-09,9.121749266624873e-07,1.0821371853534334e-07,ReLU,lstm,4,3,,0.001503948651852855,1,3,-0.022300410622661755,0.996112236683222
40,COMPLETE,1.0785553957474954,0.0003972714512873496,4.9126482244000894e-05,1.5018840186466447e-06,3.6749671530925387e-05,GELU,gru,3,5,5,0.0011070390526825302,2,1,-0.08227027903148865,1.0785553957474954
41,COMPLETE,0.9957811776371585,2.1362294330851914e-08,4.7388536163090535e-08,1.7080640609639107e-07,1.8382737068395614e-06,GELU,lstm,4,6,6,0.001999497588246947,2,4,0.008963218087827908,0.9957811776371585
42,PRUNED,1.0083658772745747,3.876376259160527e-07,2.5208562544227956e-08,3.810721985877783e-08,6.9289350319049554e-09,GELU,lstm,4,6,6,0.0008308513246887596,2,3,,
43,COMPLETE,0.9987539450725118,2.109042000936414e-06,2.103550806928332e-07,3.2247926118825996e-10,0.0002152270448106414,GELU,lstm,4,6,5,0.0016837184469192688,2,3,-0.0025694464146881596,0.9987539450725118
44,PRUNED,1.0130723893135534,0.0001590230724604165,5.268254501975101e-07,9.368157962554022e-09,5.289329171260547e-06,GELU,lstm,4,5,2,0.0006144778772997986,2,5,,
45,PRUNED,1.007807742601159,0.0009871787257899963,2.4600455920693974e-06,1.3287791233555316e-09,1.5156594749244134e-05,GELU,lstm,1,6,4,0.0009332357179041118,2,4,,
46,COMPLETE,0.9983752094667634,3.365141483214359e-09,7.829113411713585e-07,5.226102960983745e-09,1.1929456357929468e-06,Tanh,lstm,4,5,6,0.0030004156363560826,2,2,-0.0196813524764606,0.9983752094667634
47,COMPLETE,0.9936789846110189,3.8379954060256066e-08,0.00022756667123420592,1.8621741962089573e-05,2.891600870711327e-10,GELU,lstm,4,2,4,0.0024284476869901616,2,3,-0.004901653609463272,0.9936789846110189
48,COMPLETE,0.9957544480400601,3.3565737703735384e-09,0.0002013999143272427,2.5910634146681433e-05,0.0006587880508812794,GELU,lstm,4,2,,0.0013792939119430252,1,3,-0.01966655465671415,0.9957544480400601
49,PRUNED,1.0080311132586557,6.385193274383335e-08,0.0006192758302592908,0.00022984263804475317,1.5692727109871287e-10,ReLU,gru,1,2,4,0.0021520220344893,2,3,,
